DP,DPMP,MPIO_NAREA,AÑO_CREACION
05,05001,374.83062476,1965
05,05002,507.1341142,1814
05,05004,296.95598007,1912
05,05021,128.93215315,1907
05,05030,84.13247690999999,1912
05,05031,1209.12687145,1843
05,05034,402.50256241,1853
05,05036,81.87630162000001,1896
05,05038,338.66648207,1821
05,05040,1413.77390426,1821
05,05042,525.6013745499999,1541
05,05044,255.9233139,1813
05,05045,535.1723772399999,1967
05,05051,754.2519019699999,1958
05,05055,245.34178234,1960
05,05059,110.43497498,1894
05,05079,205.66616815,1812
05,05086,296.15316705,1814
05,05088,147.75841796,1913
05,05091,180.52598682,1920
05,05093,262.36750258,1884
05,05101,260.44610792,1869
05,05107,376.3467564,1980
05,05113,355.21025575,1812
05,05120,1873.80283368,1903
05,05125,200.12988321,1908
05,05129,132.75593574,1848
05,05134,206.34334641,1835
05,05138,364.83123014,1855
05,05142,262.79877541,1963
05,05145,92.05778314,1842
05,05147,387.27064217,1983
05,05148,423.64519157,1814
05,05150,149.580818,1814
05,05154,1429.12197616,1942
05,05172,721.68264526,1915
05,05190,46.93473179,1923
05,05197,241.76470342,1864
05,05206,202.05448562,1773
05,05209,247.88039048,1848
05,05212,67.76071731,1812
05,05234,1957.26270789,1887
05,05237,203.33231063,1814
05,05240,237.77937835,1833
05,05250,1560.24887159,1979
05,05264,214.1959458,1835
05,05266,77.99670322999999,1814
05,05282,258.09259898,1830
05,05284,1384.1313647,1859
05,05306,93.49444129,1865
05,05308,82.85600094999999,1833
05,05310,332.20462869,1903
05,05313,190.22512112,1817
05,05315,118.20974808,1964
05,05318,151.8116382,1817
05,05321,83.32688921,1818
05,05347,114.84882851,1831
05,05353,57.52160128,1983
05,05360,19.64955524,1832
05,05361,2841.11608867,1857
05,05364,201.16256166,1882
05,05368,205.00067523,1852
05,05376,132.71495274,1914
05,05380,36.63179449,1833
05,05390,54.29631115,1996
05,05400,167.73965985,1911
05,05411,216.41644317,1833
05,05425,387.10137584,1958
05,05440,114.87120133,1787
05,05467,76.02845245,1913
05,05475,1266.20138253,1849
05,05480,1075.17282089,1951
05,05483,316.76741824,1913
05,05490,1255.54393569,1977
05,05495,937.32294501,1981
05,05501,86.98619201,1859
05,05541,118.31434977,1774
05,05543,434.06904339,1915
05,05576,75.43285985999999,1911
05,05579,1220.10917421,1881
05,05585,669.2914692099999,1967
05,05591,369.55676202,1977
05,05604,1989.19130969,1840
05,05607,243.60002783,1814
05,05615,195.94014889,1783
05,05628,265.76441601,1740
05,05631,15.83531904,1963
05,05642,288.23494211,1903
05,05647,218.72661072,1856
05,05649,717.81457076,1830
05,05652,356.33907493,1986
05,05656,161.26572012,1616
05,05658,126.07358378,1964
05,05659,251.99693536,1986
05,05660,425.61907424,1882
05,05664,220.94427439,1813
05,05665,602.53315431,1977
05,05667,363.92865829,1871
05,05670,424.85489769,1884
05,05674,230.49117392,1814
05,05679,196.16974628,1822
05,05686,864.7789143700001,1814
05,05690,265.95072004,1778
05,05697,83.45109381,1838
05,05736,1127.32687972,1855
05,05756,1346.39714434,1808
05,05761,219.07191325,1835
05,05789,252.23974404,1864
05,05790,1148.98499304,1978
05,05792,120.47906214,1936
05,05809,140.34578815,1857
05,05819,122.57841669,1915
05,05837,2919.53532994,1840
05,05842,265.93037264,1978
05,05847,2563.39722765,1834
05,05854,567.70263561,1912
05,05856,126.17475786,1864
05,05858,524.95500916,1983
05,05861,139.67431059,1909
05,05873,1661.85288067,1983
05,05885,440.85831184,1959
05,05887,738.25626326,1911
05,05890,1012.5146203,1883
05,05893,1894.98748943,1978
05,05895,1167.35761591,1770
08,08001,154.20207902,1913
08,08078,121.34712432,1856
08,08137,99.99500657,1914
08,08141,135.7690644,1860
08,08296,97.51307156999999,1873
08,08372,167.93048227,1892
08,08421,224.32105579,1960
08,08433,97.94233728,1912
08,08436,214.27303319,1855
08,08520,92.33826091,1913
08,08549,252.97468793,1905
08,08558,73.86433128,1893
08,08560,206.53519105,1965
08,08573,70.56709254,1906
08,08606,358.54030648,1905
08,08634,43.11113256,1876
08,08638,395.87438012,1913
08,08675,57.36635532,1967
08,08685,65.00300596,1857
08,08758,59.35835745,1813
08,08770,42.55805817,1905
